name,stars,price,city,countryCode,countryName,address,location,url,latitude,longtitude
Boulevard Hotel Kuala Lumpur,4,96,Kuala Lumpur,MY,Malaysia,Mid Valley City Lingkaran Syed Putra,Kuala Lumpur Malaysia,http://www.blvhotel.com,3.11872,101.678
Boutel at Titiwangsa Sentral,2,91,Kuala Lumpur,MY,Malaysia,Titiwangsa Sentral Jalan Cemor Chowkit / Putra WTC,Kuala Lumpur Malaysia,,3.17093,101.697
Brisdale,2,30,Kuala Lumpur,MY,Malaysia,No 65 Jalan Haji Hussein Off Jalan Tuanku Abdul Rahman,Kuala Lumpur Malaysia,http://www.brisdale.com.my/,3.16597,101.7
Budget Inn (No.82-84) Kuala Lumpur,1,99999,Kuala Lumpur,MY,Malaysia,No. 82-84 Jalan Alor,Kuala Lumpur Malaysia,http://budgetinn.com.my/,3.14622,101.709
Carcosa Seri Negara Hotel Kuala Lumpur,5,291,Kuala Lumpur,MY,Malaysia,Taman Tasik Perdana,Kuala Lumpur Malaysia,,3.143,101.685
Cardogan Hotel,2,41,Kuala Lumpur,MY,Malaysia,64 Jalan Bukit Bintang,Kuala Lumpur Malaysia,http://www.cardogan.com/cardo2.htm,3.14552,101.709
Casa Ukhwah at Kuala Lumpur,5,244,Kuala Lumpur,MY,Malaysia,No. 6 Jalan Puncak Kiara Utama Kiara View Sri Hartamas,Kuala Lumpur Malaysia,http://www.timeanddate.com/worldclock/city.html?n=122,3.17223,101.655
Casavilla Travellers Lodge,1.5,18,Kuala Lumpur,MY,Malaysia,No. 24 Jalan Pudu Lama,Kuala Lumpur Malaysia,http://casavilla2u.com/,3.14628,101.702
Chateau@Kuala Lumpur Resort Rawang,3,37,Rawang,MY,Malaysia,44 Jalan Desa 6/7 Bandar Country Homes,Rawang Malaysia,http://www.kualalumpurhotelz.net/kualalumpur-hotel/rawang/,3.33612,101.528
Checkmate Guest House,1,23,Kuala Lumpur,MY,Malaysia,08 Jalan Rembia Off Jalan Tengkat Tong Shin,Kuala Lumpur Malaysia,http://checkmateguesthouse.com/contact.htm,3.1465,101.709
Chill Inn,1,14,Kuala Lumpur,MY,Malaysia,5 Jalan Yap Ah Loy,Kuala Lumpur Malaysia,,3.14694,101.697
Chinatown Boutique Hotel Kuala Lumpur,4,38,Kuala Lumpur,MY,Malaysia,34 – 36 Jalan Hang Lekir Off Jalan Sultan,Kuala Lumpur Malaysia,http://www.chinatownboutiquehotel.com/,3.14439,101.696
Cintamani Travellers Lodge Kuala Lumpur,1.5,99999,Kuala Lumpur,MY,Malaysia,37 & 39 Jalan Hang Lekiu,Kuala Lumpur Malaysia,,3.14835,101.698
Citin Hotel Masjid Jamek,3,34,Kuala Lumpur,MY,Malaysia,Lot No 7 Seksyen 33 Jalan Melayu,Kuala Lumpur Malaysia,http://www.citinmj.com/,3.15179,101.696
Citin Hotel Pudu Kuala Lumpur,2,33,Kuala Lumpur,MY,Malaysia,No 38 Jalan Pudu,Kuala Lumpur Malaysia,http://www.citinhotels.com/citin-hotel-pudu-kualalumpur.html,3.14609,101.701
Cititel Express,3,42,Kuala Lumpur,MY,Malaysia,449 Jalan Tuanku Abdul Rahman,Kuala Lumpur Malaysia,http://www.cititelexpress.com/,3.16444,101.699
Cititel Mid Valley,3,70,Kuala Lumpur,MY,Malaysia,Mid Valley City Lingkaran Syed Putra,Kuala Lumpur Malaysia,http://www.cititelmidvalley.com,3.11779,101.678
Citrus Hotel,3,42,Kuala Lumpur,MY,Malaysia,51 Jalan Tiong Nam Off Jalan Raja Laut,Kuala Lumpur Malaysia,http://www.citrushotelkl.com/,3.16328,101.695
City Kuchai Hotel,2,28,Kuala Lumpur,MY,Malaysia,25 Jalan 2/115A Taman Pagar Ruyong Off Jalan Kuchai Lama,Kuala Lumpur Malaysia,http://kualalumpurcity.olx.com.my/hotel-housekeeping-assistant-iid-323267352,3.09173,101.684
City Park Hotel Kuala Lumpur,1,29,Kuala Lumpur,MY,Malaysia,46 Lorong Haji Hussein Satu Off Jalan Raja Muda Abdul Aziz Wilayah Persekutuan,Kuala Lumpur Malaysia,http://www.citypark-kualalumpur.com/,3.16686,101.701
City Villa Kuala Lumpur,3,29,Kuala Lumpur,MY,Malaysia,69 Jalan Haji Hussein Off Jalan Tuanku Abdu,Kuala Lumpur Malaysia,http://www.hotelcityvilla.com/,3.16502,101.699
Classic Inn Kuala Lumpur,1,12,Kuala Lumpur,MY,Malaysia,No 52 Lorong 1/77A Kampung Dollah Off Jalan Pudu Bukit Bintang,Kuala Lumpur Malaysia,http://www.classicinn.com.my/,3.14105,101.71
Clearwater Residence,5,106,Kuala Lumpur,MY,Malaysia,Changkat Semantan Damansara Heights Sri Hartamas,Kuala Lumpur Malaysia,,3.15175,101.671
Comfort Hotel Kuala Lumpur,1,30,Kuala Lumpur,MY,Malaysia,No.233 Jalan Ipoh Batu 1 1/2,Kuala Lumpur Malaysia,http://www.hotelcomfort.biz/html/comfort-inn.htm,3.17304,101.692
Comfort Inn Kuala Lumpur,2,27,Kuala Lumpur,MY,Malaysia,No.65 Cangkat Bukit Bintang,Kuala Lumpur Malaysia,http://www.hotelcomfort.biz/html/comfort-inn.htm,3.14657,101.71
Comfort Lodge Kuala Lumpur,1,21,Kuala Lumpur,MY,Malaysia,No. 52 Tengkat Tong Shin Off Changkat Bukit Bintang,Kuala Lumpur Malaysia,http://www.hotelcomfort.biz/html/comfort-lodge.htm,3.14764,101.708
Concorde Hotel Kuala Lumpur,4,88,Kuala Lumpur,MY,Malaysia,2 Jalan Sultan Ismail,Kuala Lumpur Malaysia,http://kualalumpur.concordehotelsresorts.com/,3.15558,101.705
Concorde Inn Kuala Lumpur International Airport,3,52,Sepang,MY,Malaysia,Jalan Kuala Lumpur International Airport 1/60,Sepang Malaysia,http://sepang.concordehotelsresorts.com/,2.76676,101.694
Corona Inn Kuala Lumpur,3,32,Kuala Lumpur,MY,Malaysia,22 Jalan Tong Shin Off Jalan Bukit Bintang,Kuala Lumpur Malaysia,http://www.coronainn.com.my/,3.14487,101.706
